Title,Author,Description,Genre,Themes,Mood
"The Hobbit","J.R.R. Tolkien","A fantasy novel about Bilbo Baggins, a hobbit who is swept into an epic quest with dwarves to reclaim their homeland from the dragon Smaug.","Fantasy","adventure,friendship,growth","Lighthearted"
"The Lord of the Rings","J.R.R. Tolkien","An epic fantasy about the struggle to destroy a powerful ring and defeat a dark lord.","Fantasy","good vs evil,sacrifice,friendship","Epic"
"The Silmarillion","J.R.R. Tolkien","A mythological history of Middle-earth describing the creation of the world and its earliest ages.","Fantasy","mythology,creation,history","Mythic"
"A Game of Thrones","George R.R. Martin","A fantasy novel about noble families vying for control of the Iron Throne.","Fantasy","power,politics,betrayal","Dark"
"The Name of the Wind","Patrick Rothfuss","A lyrical fantasy recounting the life of Kvothe, a gifted musician and magician.","Fantasy","storytelling,ambition,magic","Lyrical"
"Mistborn","Brandon Sanderson","A fantasy novel set in a world where magic is fueled by ingesting metals.","Fantasy","rebellion,power,identity","Hopeful"
"The Way of Kings","Brandon Sanderson","An epic fantasy about war, leadership, and honor in a storm-ravaged world.","Fantasy","honor,leadership,sacrifice","Epic"
"American Gods","Neil Gaiman","A fantasy novel blending mythology and modern America.","Fantasy","mythology,belief,identity","Moody"
"Good Omens","Neil Gaiman & Terry Pratchett","A comedic fantasy about angels and demons trying to stop the apocalypse.","Fantasy","fate,friendship,free will","Humorous"

"Dune","Frank Herbert","A science fiction epic set on the desert planet Arrakis, focusing on politics, religion, and power.","Science Fiction","politics,religion,ecology","Epic"
"Foundation","Isaac Asimov","A science fiction classic about preserving knowledge during the collapse of a galactic empire.","Science Fiction","history,knowledge,empire","Intellectual"
"Hyperion","Dan Simmons","A science fiction epic featuring interconnected stories and a mysterious being.","Science Fiction","time,religion,storytelling","Grand"
"The Left Hand of Darkness","Ursula K. Le Guin","A science fiction novel exploring gender and politics on an alien planet.","Science Fiction","gender,culture,politics","Thoughtful"
"Neuromancer","William Gibson","A cyberpunk novel about a hacker navigating a high-tech underworld.","Cyberpunk","technology,identity,capitalism","Gritty"
"Snow Crash","Neal Stephenson","A cyberpunk novel exploring virtual reality and linguistics.","Cyberpunk","virtual reality,language,corporations","Chaotic"
"The Martian","Andy Weir","A science fiction novel about surviving alone on Mars using science.","Science Fiction","survival,science,problem-solving","Optimistic"
"Ender's Game","Orson Scott Card","A novel about a gifted child trained to fight an alien war.","Science Fiction","war,ethics,leadership","Tense"
"Blade Runner (Do Androids Dream of Electric Sheep?)","Philip K. Dick","A sci-fi novel questioning humanity through artificial life.","Science Fiction","identity,technology,morality","Noir"
"Ready Player One","Ernest Cline","A science fiction adventure set in a virtual reality world.","Science Fiction","escapism,technology,competition","Fun"

"1984","George Orwell","A dystopian novel set in a totalitarian surveillance state.","Dystopian","surveillance,freedom,control","Oppressive"
"Brave New World","Aldous Huxley","A dystopian novel about a society obsessed with stability and pleasure.","Dystopian","conformity,technology,control","Cold"
"Fahrenheit 451","Ray Bradbury","A novel about censorship and the burning of books.","Dystopian","censorship,knowledge,rebellion","Urgent"
"The Handmaid's Tale","Margaret Atwood","A dystopian novel about a theocratic regime controlling women.","Dystopian","oppression,gender,power","Disturbing"
"The Road","Cormac McCarthy","A father and son journey through a post-apocalyptic world.","Post-Apocalyptic","survival,parenthood,hope","Bleak"
"Station Eleven","Emily St. John Mandel","A post-apocalyptic story about art and civilization.","Post-Apocalyptic","art,loss,civilization","Melancholic"
"The Stand","Stephen King","An epic post-apocalyptic struggle between good and evil.","Post-Apocalyptic","good vs evil,society,survival","Epic"

"To Kill a Mockingbird","Harper Lee","A novel about racial injustice in the American South.","Classic","justice,racism,morality","Reflective"
"The Catcher in the Rye","J.D. Salinger","A coming-of-age story about alienation and identity.","Classic","identity,alienation,adolescence","Introspective"
"East of Eden","John Steinbeck","A multigenerational novel exploring good and evil.","Classic","family,free will,morality","Reflective"
"Slaughterhouse-Five","Kurt Vonnegut","A war novel blending science fiction and satire.","Classic","war,time,absurdity","Darkly Humorous"
"Crime and Punishment","Fyodor Dostoevsky","A psychological novel about guilt and redemption.","Classic","guilt,morality,redemption","Intense"
"The Great Gatsby","F. Scott Fitzgerald","A novel about wealth, love, and the American Dream.","Classic","illusion,wealth,love","Melancholic"
"Moby-Dick","Herman Melville","A sailor's obsession with a legendary whale.","Classic","obsession,fate,nature","Obsessive"

"Pride and Prejudice","Jane Austen","A romantic novel exploring love and social class.","Romance","love,class,society","Witty"
"Jane Eyre","Charlotte Brontë","A gothic romance about independence and love.","Romance","independence,love,morality","Gothic"
"Wuthering Heights","Emily Brontë","A dark romance about obsession and revenge.","Romance","obsession,revenge,passion","Brooding"
"Outlander","Diana Gabaldon","A historical romance involving time travel.","Romance","love,time,history","Passionate"

"Gone Girl","Gillian Flynn","A psychological thriller about a marriage gone wrong.","Thriller","deception,media,marriage","Unsettling"
"The Girl with the Dragon Tattoo","Stieg Larsson","A mystery thriller involving secrets and corruption.","Thriller","investigation,corruption,justice","Dark"
"The Da Vinci Code","Dan Brown","A fast-paced thriller involving religious mysteries.","Thriller","conspiracy,religion,secrets","Fast-Paced"

"The Shining","Stephen King","A horror novel about isolation and madness.","Horror","madness,isolation,fear","Terrifying"
"Dracula","Bram Stoker","A gothic horror novel introducing Count Dracula.","Horror","fear,desire,immortality","Gothic"
"Frankenstein","Mary Shelley","A novel about creation and responsibility.","Horror","creation,ethics,alienation","Somber"

"The Alchemist","Paulo Coelho","A philosophical novel about destiny and purpose.","Philosophical Fiction","destiny,self-discovery,faith","Hopeful"
"Meditations","Marcus Aurelius","Personal reflections on Stoic philosophy.","Philosophy","stoicism,virtue,self-control","Calm"
"Sapiens","Yuval Noah Harari","A nonfiction exploration of human history.","Nonfiction","history,culture,evolution","Informative"
